Título,Estrelas,Comentarios
perfeito,5,"eu nao gostva de camarao ate conhecer este restaurante, quando falavam nao acreditei muito, mas quando fui conhecer vi que nao era só fama o ambiente é muito bom, e os pratos com camaroes é simplesmente maravilhoso, sao grandes e gostosos, eu suoer indico."
Maravilhoso !,5,"É, sem dúvidas, o melhor restaurante que eu já encontrei em toda a minha vida. Que sabor, que paladar !!!!!!!!!!"
Perfeito,5,"A comida é simplesmente maravilhosa, e além de tudo, o ambiente é muito agradável e o atendimento nota 1000. Além dos camarões, os acompanhamentos são excelentes e a sobremesa fantástica."
Muito Bom!,5,"ótimo atendimento, comida ótima o lugar é bem agradável. Vale a pena conhecer, recomendo com empenho"
Simplesmente o Melhor!,5,"Sem duvidas o melhor restaurante. Antes de pedir o prato principal, recomendo pedir o pastel de camarão, que é simplesmente maravilhoso. O ambiente é perfeito, comida bem farta e bem temperada. Pratos grandes, dá até para 3 pessoas..muita comida mesmo.Se vc for a Natal, não deixe de conhecer e provar as delícias desse restaurante.Quanto ao valor, depende, eu não acho caro, pois a qualidade é inquestionável e a quantidade satisfaz qualquer um, vale cada centavo."
EXCELENTE LOCAL!,5,"boa comida, atendimento e preço justo! Diversidade de pratos, com rapidez e eficiência.  Não deixe de ir no camarões!"
Excelente!,5,"Ótimas opções de pratos e todos, todos sem exceção são muito bem elaborados. O atendimento é excelente e você sempre sai com gostinho de quero mais, sem dúvida um dos melhores restaurantes da cidade e um dos melhores camarões que você já comeu."
restaurante aconchegante atendimento  excelente,5,"a comida e otima  o ambiente e excelente recomendo a quem for a natal, otima localizacao no centro de natal"
Melhor restaurante de natal,5,"Quando dizíamos que íamos passar férias em Natal todos os amigos nos diziam do camarões, e de fato, é o melhor da cidade, além do ambiente sofisticado, atendimento diferenciado, a comida é fantástica, viagem a Natal parada obrigatória no camarões."
Jantar em família,5,Excelente os garçons atenciosos nos explicou os pratos e indicações de pratos que serviam mais de 2 pessoas.
Hummmmm,5,Tudo gostoso e barato! Incrível como esse restaurante consegue se manter a tanto tempo com pratos maravilhosos mas sem explorar nos preços! Por isso sempre vive lotado. O pastel de camarão é perfeito!
Simplesmente perfeito!,5,"Os pratos servem 4 pessoas tranquilamente. É bastante farto, saboroso e barato. O atendimento é excelente. Certamente os melhores pratos de camarão que já experimentei. Se for a Natal, não deixe de jantar no Camarões."
o Camarão dos seus Sonhos.,5,"Ambiente muito agradável e luxuoso. Atendimento perfeito. Para quem ama camarão, é completo. Cerveja gelada e ambiente climatizado. Tem outras opções de frutos do mar, mas o forte mesmo é os camarões."
Uma delicia !!!,5,"Você adora camarão este é o lugar. Este é a matriz começou numa pequena casa e hoje tem mais duas filiais em Natal. Tudo é 10,  ambiente, atendimento e a comida deliciosa. Nosso garçom foi o Luiz Antônio que lá está  há vários anos. Deu varias sugestões escolhemos Camarão à Flor de Sal, muito bem servido. Recomendo muito . Quem vai a Natal tem que ir no Camarões."
Almoço,5,"Ao entrar no restaurante, confesso que fiquei um pouco envergonhado até, pois somos de gosto simples e o lugar é realmente lindo, luxuoso mesmo. A comida é ótima, com porções bastante generosa. Acabamos pedindo até muita comida. Ótimo restaurante,"
O melhor Camarao da cidade,5,"Já fui várias vezes e com certeza é a melhor opção de camarão... A comida é ótima e tudo muito fresco e muito bem servido... O pastel de camarão também é dos deuses, vale muito a pena experimentar... E as sobremesas também, o Aroma do Bosque e o Mousse de Chocolate trio também é maravilhoso e recomendo..."
O melhor!,5,"Esse é pra ir e voltar várias vezes durante a viagem. Pratos deliciosos, fartos e com uma variedade de impressionar. Ambiente lindo. Adoramos!"
Restaurante requintado,5,Belo restaurante de comida espetacular. Atendimento ótimo. Garçons super amáveis. Um dos restaurantes mais recomendáveis. Ótima localização.
O melhor de Natal,5,"Fomos ao Camarões Potiguar e achei sensacional. Não esperamos muito. Repetimos a dose por 2 vezes e conseguimos nos sentar logo ao chegar. A comida vale muito à pena. SIMPLESMENTE PERFEITOS os pratos. Muito, muito bem servidos. Atendimento nota 1000. Já estou c saudades!!"
Excelente,5,"Otima pedida pra quem gosta de camarao,varias opcoes.comida muito bem feita,temperada.restaurante bonito,lugar agradavel,nao é barato!o preço porem vale o que oferecem.varias opcoes de caipirinha e o prato servido da pra mais de 1 pessoa,é bem servido."
luxo em todos os sentidos,5,"Este restaurante na minha opinião é o melhor, o preço é bem salgado, mas vale muito a pena, a comida é extremamente deliciosa, o atendimento é dez e fica pertinho da praia de Ponta Negra."
Comida Saborosa,3,"A comida é bem saborosa, porém a quantidade é pequena. O ambiente é ótimo, bem localizado e com uma vista linda!"
Comida e atendimento sensacional,5,"Restaurante muito famoso pelos seus variados tipo de pratos com camarões. Mas eles oferecem também pratos com peixes, saladas e carnes vermelhas. Minha mãe tem alergia a camarão e o prato é para duas pessoas então eu pedi um prato de peixe que veio espetacular. O atendimento é ótimo e o cardápio apresenta avisos para os alergenos e intolerantes a algum tipo de comida. O prato vem muito rápido a mesa. Recomendo muito pra quem vai à Natal ir a este restaurante."
Fenomenal,5,"Comida perfeita, local perfeito. Mas atenção, faça reserva antes. Custo Benefício muito bom,  IMPERDÍVEL"
Sempre imperdível!,5,"Como tenho família em Natal, já visitei a cidade várias vezes e não deixo de ir ao Camarões. Dessa vez, eu e meu namorado fomos num sábado quase na hora de fechar (16h). Mesmo assim, fomos super bem atendidos. Comemos um camarão na moranga que estava incrível! A quantidade daria para três pessoas comerem muito bem!!! O preço é justo para a comida de qualidade que eles servem. Sempre uma excelente pedida."
Muito Bom,5,"Vale a pena conferir, muito bom mesmo, as vezes tem ate fila de espera pra entrar, atendimento rapido e comida muito boa."
Camarão gostoso,5,"Quem vai em Natal tem que conhecer o restaurante, muito gostoso! Tem uma enorme variedade de pratos!"
Muito Agradavel,4,"Já tive em outra vez que estive em Natal, cresceu muito os salões porem continua com pratos muito bons e bem servidos com um preço bom.O unico problema é que é muito procurado portanto principalmente nos fim de semana tem sempre fila grande de espera"
Maravilhoso,5,"Um ótimo restaurante, ambiente agradável, a comida é maravilhosa, ótimo lugar para ir com amigos e família."
Fantástico!!!,5,"Um dos melhores restaurantes que já comi na vida!!! Quem for à Natal não pode deixar de ir!!! Ambiente lindo, vc se sente realmente especial. Quando chegamos à recepção existiam 40 senhas na nossa frente e não aguardamos mais de 20 minutos para irmos pra uma mesa. A comida deliciosa e temos que experimentar a comida regional é fantástica. Valeu muito a pena e ao contrário do que muitos podem achar o preço é muito bom."
Ambiente agradável e comida muito boa,4,Serviço de primeira com ótimo atendimento e cardápio variados voltarei com certeza o ambiente é aconchegante e bonito.
comida espetacular,5,"ambiente super agradável, com estacionamento amplo, atendimento rápido, comida maravilhosa e com preço justo!!!"
Maravilhoso!,5,"Maravilhoso! Estive lá em Julho de 2013. No dia que fui havia uma fila de espera, mas valeu a pena. Comida perfeita e bem caprichada. Pedimos um prato para dois que poderia ser servido para três tranquilamente e com um preço razoável."
Melhor rede de restaurantes da cidade,4,"Sem sombra de dúvidas um dos melhores restaurantes da cidade, excelente localização na praia de ponta negra, pra quem gosta de frutos do mar não se arrepende."
Camarão com expertise!,5,"Restaurante aconchegante,atendimento especial e comida farta e saborosa. Indo a Natal,não deixe de degustar."
Melhor custo - benefício de Natal,5,"O Camarões tem atendimento muito bom e a comida é excelente. Muito bem servida, às vezes um prato para 4 pessoas! Sem lugar que o restaurante é lindo!"
Perfeito,5,O melhor!   Sem dúvida o melhor restaurante de Natal  Comida excelente   Preço justo   Atendimento impecável!   Vem a Natal   Vá ao Camarões
O melhor restaurante de Natal,5,"O melhor restaurante que já fui até hoje. Nos receberam super bem mesmo tendo chegado almoçar depois do City Tour já bem mal arrumados e cheios de sacolas. Nos trataram extremamente bem. A comida simplesmente impecável e com preço justo. Foi sem dúvida um ponto altíssimo da nossa viagem. Uma pena ter conhecido o restaurante no último dia, caso contrário teria ido todos os dias. É maravilhoso! Ponto obrigatório para quem vai a Natal!"
O novo camarões está repaginado e mais aconchegante.,5,"Após a reforma o novo camarões, que na verdade foi o primeiro, agora comporta mais cliente e está repaginado e mais aconchegante. Esse fica bem no meio da Avenida Roberto Freire no sentido Natal praias do Sul, mais reservado e menos movimentado que a segunda filial que é mais procurada."
Férias,5,Quem for a natal com certeza tem que ir no restaurante camarões o lugar é ímpar e sensacional . O melhor restaurante que já fui e além do mais serve um espetacular camarão e suas variedades muito bom mesmo
O melhor!!!,5,"Melhor restaurante que já comi Ótimo atendimento, ambiente agradável, e comida muito boa! Muito limpo, funcionários bem qualificados... Uma boa experiência Super indico... Com certeza voltarei! Meu marido filho e amigos também adoraram."
O melhor da cidade,5,A experiência de vir a Natal só será completa se contemplar uma visita ao Camarões. Pratos deliciosos e atendimento de excelência.
Excelente !!!!!,5,"Ótimo restaurante, pratos deliciosos e atendimento perfeito. Pratos relativamente baratos comparados a qualidade do local. Os pratos, que demoram cerca de 15 minutos para serem servidos, alimentam bem um casal e os valores variam entre 90 e 115 reais, as bebidas possuem preços justos e a carta de vinhos é bem variada."
Top,5,"Um dos melhores restaurantes de Natal,  sem dúvida. Entradas deliciosas, não deixe passar em branco. Recomendo o camarão genovese, simplesmente delicioso."
O melhor,5,"O melhor restaurante de todos!! Atendimento perfeito, pratos maravilhosos de dar água na boca, o risoto de camarão é simplesmente maravilhoso!"
Muito bom! Preço salgado,5,"Um dos restaurantes mais famosos de Natal (se não o mais famoso). Pratos deliciosos e bem servidos. O atendimento é ótimo e o local também. Só o preço fica um pouco alto, mas esperado pelo nível do restaurante. Engraçada a fila enorme que se forma na porta antes de abrir (alta temporada). Ainda bem que o espaço é bem grande e cabe (quase) todo mundo"
"Comida deliciosa, mas $algada",5,"Ótimo menu. Tem prato para todos os gostos e o ""glamour"" é estabelecido. Pra quem pode pagar um preço alto pelo prato (que normalmente serve de duas a três pessoas), vai que não tem erro. Muito boa refeição."
Jantar romântico,5,"Um restaurante completo  e fácil de encontrar próximo a via costeira. Restaurante com ambientes climatizados e cardápio que agrada todos os gostos, pedimos o prato Dijon de camarão, comemos e ainda dava para mais três pessoas, muito saboroso, vale realmente a pena conhecer, estacionamento com manobrista mas não possui translado. Recomendo muito mesmo......"
Boa comida,4,"O restaurante de frutos do mar mais antigo de natal, a tradição da sua qualidade. Os preços são justos. O carro chefe é o camarão. O restaurante de ponta negra tem um visual muito bom, peça para reservar uma mesa com vista para o mar."
Muito bom.,4,"Muito bem recomendado pelos guias, o que nos animou muito. Porém passamos o dia em passeios com almoços bem caprichados, que a noite preferimos uma coisa mais leve, não foi possível experimentar algo mais elaborado, pedimos petiscos, e experimentamos o pastel de camarão tão bem falado, é ótimo, vale a pena. Fomos cedo e estava vazio o atendimento foi bem rápido sem filas e muito bom os garçons sempre atenciosos, foi tudo servido rápido e sem demora. Gostamos muito."
Perfeito,5,"Se você vai a Natal, não deixe de ir a esse restaurante! Melhor comida, atendimento e um lugar aconchegante!"
Sabor,5,"Já fui várias vezes, e sempre me surpreendo quando peço um novo prato, o sabor é sensacional, perfeita combinação. E sem contar na fartura dos pratos."
Excelente!,5,"Excelente restaurante, a começar pelo cardápio que é uma maravilha, outro nível frutos do mar, atendimento ok e o preço bem razoável.   Super recomendo!"
excepcional,5,"Excelentes instalações, com pessoal amável, serviço e pratos padrão internacional, cardápio variado e pratos que servem duas ou mais pessoas."
Muito bommmmmm!!,4,"Sempre que venho a Natal, tenho que vir no Camaroes, a espera sempre é grande nos fim de semana, mais a comida vale muito a pena, pedi um camarao dijon (que é temperado com a mostard dijon) magnifico!! atendimento bom tb!!"
Jantar,5,"Ótimo, excelente lugar . Bom atendimento ,funcionários educados, conforto, bastante organizado. Atendimento de primeira. Nunca vi um lugar tão organizado melhor restaurante de Natal"
Excelente,5,"Um lugar super refinado, garçons atenciosos, comida uma delícia, pedimos uma moqueca de camarão, excepcional."
Restaurante Excelente,5,"O restaurante é maravilhoso. Atendimento impecável, ótima localização, próximo a vários hotéis em Ponta Negra, preço justo e comida deliciosa."
Gastronomia excelente,5,"Lugar de muito bom gosto, bonito e aconchegante. Comida deliciosa e com grande diversidade. Recomendo o capreze de camarão como entrada, é uma delícia!!!"
Boa comida,4,"O restaurante Camarões é um lugar para quem quer comer comida boa e requintada, há uma variedade de pratos, o atendimento é ótimo, ambiente climatizado e super luxuoso. Mas se preparem para gastar, o valor é bem salgado, mas acho que vale a pena ir pelo menos uma vez em sua viagem!"
Melhor lugar para se comer em Natal,5,O cardápio é variado. Tudo é muito bem feito. O atendimento é nota 10. Recomendo chegar cedo por que o lugar lota e você pode pegar uma bela fila de espera.
Vale cada centavo pago,5,"Ótimo ambiente, excelente comida, preços ao meu modo de ver acessíveis pois 1 prato serve 4 pessoas. Sobremesas saborosas e barata, paguei 20 reais em uma sobremesa do dia do chef e 4 pessoas comeram."
Magnífico,5,"Restaurante super organizado, enquanto espera sua vez com um dispositivo eletronico, vc pode passear pelas lojas de artesanatos na proximidade e esperar o dispositivo acionar avisando que sua vez chegou, assim o tempo passa rápido. Lugar elegante, gente bonita, comida magnifica e preço muito acessivel, passei 68,00 em um prato que deu para 03 pessoas e sobrou... as sobremesas são muito boas também, folheado de chocolate huuuuuuuuuuuum..."
Excelente!! O melhor de Natal!!,5,"Existem dois restaurantes Camarões em Natal. Um mais antigo e outro bem novinho. Escolhemos ir no mais novo, mas nos avisaram que o cardápio era rigorosamente igual nos dois restaurantes. Ficamos 5 dias em Natal e para vocês terem uma idéia do quão gostamos de comer lá...foram 3 refeições!! (1 jantar e 2 almoços!!) Melhor comida de Natal de longe!! Melhor que no restaurante Nau frutos do mar, apesar do Nau chamar muito mais atenção ao se chegar na porta.  De qualquer maneira, fomos aos dois...lembrando que num fomos 3 vezes(!!!) e no outro somente 1 vez para conhecer. Preço praticamente igual porém comida do Camarões se destaca muito mais!!! Ficamos fãs e quando voltarmos a Natal, com certeza comeremos váárias vezes de novo."
Delícia!,5,O restaurante é maravilhoso! A comida estava muito saborosa. Peçam a Caipirinha de caju: melhor drink que bebi em tempos!
Sensacional,5,"Restaurante impressiona com a pontualidade na abertura,  requinte no serviço e fartura nos pratos. Não saia de Natal sem visitar!"
Excelente restaurante,5,"Um dos melhores restaurantes de Natal, com estrutura muito boa, excelente atendimento e pratos deliciosos, bem servidos e por um preço justo"
Muito bom...,4,"Restaurante requintado, com comidas maravilhosas e sobremesas deliciosas, pra quem aprecia gastronomia eu indico..."
Tudo perfeito!,5,"Comida boa, atendimento vip.ambiente super agradável, a comida além de gostosa, sai rápido. ótimo local para comemorações. Meu restaurante favorito em Natal."
Só pra quem gosta da boa culinária,5,"Todas as vezes que vou a Natal, não posso deixar de ir ao  Camarões. Além da excelente culinária, tem-se um ambiente aconchegante e excelente atendimento."
Ambiente sofisticado,4,"Tem que estar disposto a gastar um dinheiro, mas a comida é de excelente qualidade e faz valer a pena. Atendimento impecável"
Sensacional!!!,5,"Definitivamente o melhor! É um ambiente fantástico com uma ótima estrutura, soma-se a isso a comida que é divina!"
Sem explicações rsrsrs,5,"Excelente Restaurante, pratos incríveis, um sabor sem igual, quando voltar a cidade sem dúvida passarei por ai novamente."
Simplesmente sensacional!,5,"Em todas as minhas viagens seleciono um bom restaurante para me delicia na cultura regional! Esse restaurante foi super indicado por várias pessoas e decidir ir conferir. Superou minhas expectativas, um ótimo serviço de reserva, um garçom super gentil e que sempre nos servia(detalhe: todas as vezes que concluia a refeição, ele já estava lá pra servir mais um pouco para mim) Enfim, estava tão delicioso que pedi para embalar o que restou para comer no outro dia. Só tenho elogios para o local."
fartura,4,"Restaurante muito bonito e bem decorado, diversas opções de pratos que você fica até em dúvida do que experimentar, pedimos camarão internacional e não conseguimos comer tudo, fomos em 2 pessoas e o prato é imenso, dá tranquilamente para 3 ou até 4 pessoas. algo curioso que notamos é que na hora o prato estava uma delicia com bastante camarão, porém o que sobrou, levamos para comer no dia seguinte e quase não tinha camarão, só tinha arroz. achamos isso muito estranho. mas de qualquer forma a experiencia foi positiva"
Comida,5,"Todos os pratos são super bem servidos e com custo e peneficio ótimos, tem 2 restaurante camarões em natal o melhor é o que fica com vista para o mar!"
Ótimo,5,"Lugar bom de preço acessivel, pratos variados de camarões um delicia para curtir um jantar a dois ou com a família."
O melhor da cozinha Potigua!,5,"A  comida é excelente juntamente com suas instalações e atendimento, porém a carta de vinho é extremamente cara."
Maravilhosos e fartos pratos,5,"Comida maravilhosa e farta de camarões em tamanho grande, ambiente refinado. Boa carta de vinhos. Recomendo como um dos melhores de Natal."
Excelente!!!,5,"Excelente restaurante! Não dá pra viajar pra Natal sem provar das delícias do Camarões Potiguar.  Vimos 3 unidades do restaurante em Natal. Fomos na unidade situada na Av. Eng. Roberto Freire. Possuem estacionamento amplo e o atendimento é muito rápido. Após às 20h o restaurante é um pouco mais cheio e talvez tenha fila de espera (de não mais que 15 minutos).  Os pratos são simplesmente deliciosos e variam de R$ 90 a 115,00. Os mais caros são os que, além de camarões, tem peixes também. Estes são em torno de R$ 250,00. Os pratos são muito generosos, servem de 2 a 3 pessoas com sobra, e eles ainda embalam pra vc levar o que sobrou. Meu esposo e eu pedimos o prato ""papa jerimum"", ou camarão na moranga, acompanhado de arroz com brócolis e mandioca (ou macaxeira) frita e nem conseguimos comer tudo. É sem sombra de dúvidas o melhor restaurante de Natal. Vale a pena ir e provar da culinária mais gostosa e de sabor inesquecível da região."
Excelente comida e um ambiente muito agradável,5,"A comida e o ambiente é de muito bom gosto, os funcionários são muito atenciosos e prestativos, todos os restaurantes da franquia são muito bem localizados, enfim, aqui está um restaurante que realmente se vale a pena frequentar."
Férias,5,Um restaurante incrível com uma estrutura muito bonita é um atendimento personalizado. Comidas maravilhosas
Maravilhoso,5,"Excelente em todos os aspectos: estacionamento com segurança, atendimento super simpático, impecável, ambiente muito agradável, comida excelente e com bom preço.  Vou voltar, com certeza, e recomendarei aos amigos."
Imperdível,5,"Enquanto os saborosos pratos à base de camarão não vem, vá degustando os maravilhosos drinks oferecidos pela casa. Muito sabor e fartura. Sem duvida o melhor restaurante da cidade. Super recomendo!!!"
Melhor,5,"Ótima comida, ambiente agradável, rápido, excelente atendimento. O melhor restaurante de natal em frutos do mar."
Melhor restaurante,5,"Melhor restaurante que comi em natal!  O pastel de camarao nem se fala.... To ate agora no rio procurando um tão bom quanto. Mas tá mto dificil de achar! Hahaha Quem estiver por natal, ponta negra, nao deixe de ir! É imperdível!"
sofisticado e gostoso,5,"Sempre cheio , mais o local de espera e como se fosse um barzinho com mesas . onde vc bebe uma cervejinha gelada e come um tira gosto , o jantar foi o melhor que eu comi em natal , muito gostoso!!!!"
Excelente,5,"Restaurante tradicional de Natal, com duas filiais na cidade. Decoração bonita e atual. A comida é farta e muito saborosa. Já está muito lotado de turistas, mas ainda vale a pena."
maravilhos,5,"Um dos melhores restaurantes de frutos do mar do Brasil, almocei o camarões a grega, sensacional, apesar da grande quantidade de queijo, bom atendimento."
Restaurante excelente,5,"ótima qualidade!!!!!!! Pratos deliciosos, bom custo-benefício, ótimo atendimento!!! Melhor restaurante de Natal!!!"
Melhor de Natal,5,Comida excelente e porção bem servida. Atendimento diferenciado e acima de 3 pessoas o custo beneficio sai super em conta.
""" Ótimo atendimento""",4,"Espaço bonito e aconchegante, comida excelente e atendimento primoroso. Vale muito ir conhecer quando você estiver passando por Natal."
Fantastico,5,"Excelente restaurante tradicional de Natal. O camarão é o carro chefe e a porçãopara duas pessoas serve tres com folga.Preço médio. Vale a pena conferir.Bela decoração, atendimento rápido e sempre cheio. Reserve."
Jantar,5,Excelente como sempre! Carta de vinhos adequada para quem tem mais tempo... A trabalho fica difícil :0)  Camarões e peixes ótimos! Pratos fartos.
Maravilhoso !,5,"Excelente ambiente, comida e atendimento impecáveis ! Considero o melhor restaurante de frutos do mar de Natal !"
Excelenteeee....,5,"O restaurante é muito muito bom, a comida é de excelente qualidade, assim como o atendimento. A sobremesa de de cocado com sorvete de tapioca é perfeita.Recomendo dar uma passadinha lá."
Muito bom,5,"Sem dúvida o melhor restaurante que visitei em Natal, o pastel de camarão que é opção de entrada é espetacular."
melhor da cidade,5,Melhor restaurante do Brasil!!! Todo final de semana estou lá com toda minha família... amamos o atendimento... a comida... a rapidez dos pedidos! tudo perfeitooooo!!!!
Delícias de Natal...,5,"Os mais variados e típicos pratos de camarões encontrados neste fantástico restaurante é, sem dúvida,  um cartão visita da cidade do Natal!"
Para os amantes de pratos com camarão,5,"Restaurante espetacular, tem inúmeros pratos com camarão, um pouco caro, mas vale a pena. Quem gosta de pratos com camarão não pode deixar de ir a esse restaurante, há dois na praia de Ponta Negra."
"Lugar otimo, comida otima",5,"Lugar excelente para quem quer comer uma comida boa e de qualidade, servem frutos do mar bem como carnes vermelhas e massas"
Visita Certa!!!!,4,"Camarões é um restaurante muito tradicional em Natal.  Atendimento perfeito, comida excepcional, preço justo. O prato de camarão internacional serve 3 a 4 pessoas."
ótimo restaurante,5,"espaço agradável e comida muito boa.... Sem falar na cidade..........Bem localizado, já tinha ouvido falar muito bem e fui conferir, e realmente é excelente!!!"
Jantar a dois,5,"Ótima comida e atendimento.  Se for em Natal - Ponta Negra tem que visitar. Muqueca de camarão, simplesmente deliciosa."
Sempre uma surpresa,5,"Pratos saborosos com  Camarões sempre frescos . Sempre uma surpresa. cada vez melhor. não é barato ,mais se come bem e vale apena."
O melhor de Natal!,5,"Quando penso em restaurante em Natal, me vem logo à mente o Camarões! Nunca comi nada ruim lá... Já experimentei diversos pratos e todos sempre maravilhosos! Não deixe de provar a sobremesa de cocada co sorvete de tapioca, é divina!"
Impecável,5,O restaurante é exatamente tudo que todos dizem em todo o litoral do RN. Imperdivel. Atendimento impecável. Pratos maravilhosos. Ambiente super refinado e acolhedor. Preços absolutamente honestos.
Otimo lugar e a comida incrivel,5,muito boa comida lugar e atendimento recomento e voltarei com certeza. tudo estava lindo e apetitoso todos os pratos
Restaurante Camarões,4,"Lindo restaurante rústico.Comida farta e de boa qualidade.Estacionamento próprio.O que deixa a desejar é a longa fila de espera,pois além dos natalenses é muito frequentado pelos turistas.Daí,os garçons ficam um pouco apressados para servir,e o cliente por vezes chega a não se sentir muito à vontade.Fica próximo de vários hotéis da orla de Ponta Negra."
Gostosooooooo,5,Restaurante com atendimento maravilhoso. O prato kids de macarrão com molho de carne de filé mignon foi simplesmente gostoso.  Fora o prato típico com lagosta e etc. vale a pena!
ótima gastronomia,5,"Restaurante de fino trato, ótima localização, excelente gastronomia e atendimento. Valores adequados para a qualidade da comida e ambiente."
Qualidade impecável,5,"Restaurante muito bom, excelente opção, comida deliciosa e um ambiente muito agradável. sempre que vou a natal, não deixo de ir lá."
PARADA OBRIGATORIA,5,"Sempre que vamos a Natal, temos na agenda no minimo uma refeição no Camarões. Um restaurante de um atendimento perfeito, comida excelente e atendimento padronizado. Mesmo com a rotatividade de sempre está com a casa cheia, a qualidade no atendimento independe, o que sempre é num nível de excelência. Banheiros impecáveis na limpeza e conforto. Toda família ama está no Camarões."
Perfeito,5,O camarões é um dos melhores restaurantes de frutos do mar do Brasil. Lá o atendimento é diferenciado e a comida deliciosa e barata.
Melhor restaurante de Natal,5,"Fiquei em Natal com os meus pais e nos deparamos com muitos restaurantes que fechavam na hora do almoço!!! Rodando pela cidade procurando onde comer, nos deparamos com esse restaurante FABULOSO. Tem TUDO de camarão e os pratos são maravilhosos, super fartos e com um preço muito justo. Resultado: comemos lá todos os dias da viagem, no almoço e jantar."
Excelente,5,Restaurante com comida excelente. Um dos melhores de Natal. Indico os pratos típicos da região com camarão.
Maravilhoso,4,"A comida maravilhosa! O ambiente é ótimo, existe espera, mas você espera sentado e pode pedir drinks e quando você vê já está indo para a mesa. A comida é bem farta dependo do prato serve até 4 pessoas. (super indico) ."
Melhor culinária de Natal,5,"Ótimos pratos com ampla variedade de frutos do mar, além de outras. Ótimo ambiente, com uma linda visão para praia de Ponta Negra. Não lembro o nome agora, mas o melhor prato é o camarão acompanhado de arroz com damasco. Eu recomendo!"
Ótimo atendimento,5,"O restaurante tem um espaço muito bonito, o atendimento é muito rápido, os garçons são bastante atenciosos e educados. Nada do que pedimos demorou. Como de costume estava tudo muito gostoso."
Otimo atendimento comida muita boa e com preço justo,5,O camaroes é um dos melhores restaurantes de frutos do mar do Brasil. Lá o atendimento é diferenciado e a comida deliciosa e barata.
Excelente como sempre,5,"Excelente como sempre, já vim outras vezes e sempre o atendimento é objetivo, atencioso e rápido. O preparo do prato também foi super rápido com execução incrível, tudo na quantidade perfeita tornando a degustação do prato agradável é fácil. Comi um prato que não tem no cardápio, se chama canto do mangue. É um risoto com carne de Siri, camarões, tomates etc, acompanha macaxeira. Destaque também para o pastel de de camarão, brownie com sorvete de avelã e o aroma do bosque. Super recomendo."
camarões,5,"comida de ótima qualidade,ponto turístico,atendimento padrão,não deixe de passar por lá ,você não vai se arrepender"
Com razão um dos melhores do BR,5,"O restaurante não ficou famoso á toa! O ambiente é ótimo, existe espera sim, mas você espera sentado e pode pedir drinks e quando você vê já está indo para a mesa. Existe cardápio em inglês, o que foi show pra mim já que eu estava com uma amiga gringa. A comida é realmente memorável e beem farta! mas ao mesmo tempo a fama não deixou o ambiente sério, é um restaurante de família bem descontraído e amigável. INDICO SUPER! ;)"
Top,5,"Para quem gosta de lugares tops , restaurante ótimo , uma comida mais top que a outra , recomendo pedirem de entrada o pastel de camarão que vale muito a pena , o sabor é ótimo pedi até mais alguns pra viagem kkkk sendo sincero"
Muito bom,5,"Impressionante a rapidez do serviço e a qualidade dos pratos. Preço mais do que justo. Destaque para a sobremesa com uma cocada mole, sorvete de tapioca e calda de maracujá! !!!!"
Ambiente muito agradevel.,5,"Melhor restaurante da vida , ficamos 7 dias em Natal e fomos jantar 2 vezes . Da agua na boca so de lembrar."
Melhor de todos,5,"Dou só cinco estrelas porque não pode dar mais. Único lado ruim é que devido à procura, as filas são enormes. Mas vale a pena dar o nome e esperar. Comida simplesmente deliciosa, porções bem servidas, ótimo atendimento. Recomendo o camarão a cajueiro."
Atendimento e comida excelente,5,"Excelente restaurante, um dos melhores que eu já fui. Possui diversas opções de entradas e com ótimo custo-benefício."
Gostoso e lindo!,4,Comida gostosa. Quem vai a natal nao pode deixar de ir. Muitas opções de camarão e sobremesas deliciosas.
Ainda melhor que antes,5,"Apesar de morar em Natal, fazia mais de um ano que não ia ao Camarões situado na Av Roberto Freire. Nesse período freqüentei os outros do grupo mas, por gostar de variar e não gostar de aguardar (muito concorrido, quase sempre é necessário aguardar para conseguir uma mesa) deixei de frequentá-lo. Mas saí de lá encantada. Além do atendimento primoroso (comum a todos os restaurantes do grupo), a ambientação está maravilhosamente aconchegante e a comida...humm...FANTÁSTICA!  Comemos uma pescada com camarões acompanhada de um risoto muito, muito bom."
Ótimo restaurante,5,"Moro em São Paulo aqui não existe um restaurante que vende pratos de camarão tão gostoso quanto o Camarões de Natal, o atendimento é ótimo, o ambiente super agradável e os pratos são extremamente maravilhosos."
Excelente atendimento,5,"Tudo muito bom, do atendimento, agilidade e o principal, o prato perfeito. Qualidade internacional..."
Ótimo restaurante.,5,"òtima comida, ambiente requintado, tudo perfeito, pratos bem servidos, os preços estão na média das capitais ( e melhor que na praia rsrrsrs)"
Delicioso!,5,"Apesar do preço ser relativamente Salgado, a comida é maravilhosa e o atendimento muito bom!! Os frutos do mar são a melhor pedida!"
Delícia!!!,5,"Uma delícia!!!! Pratos muito bem servidos, alguns pratos servem muito bem de 3 a 4 pessoas. Se dividido, não parece tão caro."
Melhor restaurante de Natal,5,"Esse restaurante é  simplesmente maravilhoso!  Os pratos são muito bem servidos,  o ambiente é super chic e acolhedor e o atendimento impecável! Sugiro chegar cedo,  pois há fila de espera!"
